id,Player,BR_player_id,From,To,Pos,Ht,Wt,Birth Date,College,active,shoots,draft_team,pick_order,draft_year_type
343,Vander Blue,blueva01,2014,2015,G,6-4,200,"July 17, 1992",Marquette University,1,Right,,,
344,Ray Blume,blumera01,1982,1982,G,6-4,185,"September 23, 1958",Oregon State University,0,Right,Indiana Pacers,"2nd round (13th pick,36th overall)",1981 NBA Draft
345,Nelson Bobb,bobbne01,1950,1953,G,6-0,170,"February 25, 1924",Temple University,0,Right,Philadelphia Warriors,3rd round,1949 BAA Draft
346,Tony Bobbitt,bobbito01,2005,2005,G,6-4,190,"October 22, 1979",University of Cincinnati,0,Right,,,
347,Bucky Bockhorn,bockhbu01,1959,1965,G,6-4,200,"July 8, 1933",University of Dayton,0,Right,Cincinnati Royals,"3rd round (2nd pick,17th overall)",1958 NBA Draft
348,Tom Boerwinkle,boerwto01,1969,1978,C,7-0,265,"August 23, 1945",University of Tennessee,0,Right,Chicago Bulls,"1st round (4th pick,4th overall)",1968 NBA Draft
349,Keith Bogans,boganke01,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky,0,Right,Milwaukee Bucks,"2nd round (14th pick,43rd overall)",2003 NBA Draft
350,Bojan Bogdanovic,bogdabo02,2015,2017,G-F,6-8,216,"April 18, 1989",,1,Right,Miami Heat,"2nd round (1st pick,31st overall)",2011 NBA Draft
351,Muggsy Bogues,boguemu01,1988,2001,G,5-3,136,"January 9, 1965",Wake Forest University,0,Right,Washington Bullets,"1st round (12th pick,12th overall)",1987 NBA Draft
352,Andrew Bogut,bogutan01,2006,2017,C,7-0,260,"November 28, 1984",University of Utah,1,Right,Milwaukee Bucks,"1st round (1st pick,1st overall)",2005 NBA Draft
353,Etdrick Bohannon,bohanet01,1998,2001,F,6-9,220,"May 29, 1973",Auburn University at Montgomery,0,Right,,,
354,Manute Bol,bolma01,1986,1995,C,7-7,200,"October 16, 1962",University of Bridgeport,0,Right,Washington Bullets,"2nd round (7th pick,31st overall)",1985 NBA Draft
355,Bill Bolger,bolgebi01,1954,1954,F,6-5,205,"August 21, 1931",Georgetown University,0,Right,Milwaukee Hawks,,
356,Joel Bolomboy,bolomjo01,2017,2017,F,6-9,235,"January 28, 1994",Weber State University,1,Right,Utah Jazz,"2nd round (22nd pick,52nd overall)",2016 NBA Draft
357,Doug Bolstorff,bolstdo01,1958,1958,G,6-4,195,"October 29, 1931",University of Minnesota,0,Right,Detroit Pistons,"8th round (2nd pick,57th overall)",1957 NBA Draft
358,George Bon Salle,bonsage01,1962,1962,F,6-8,220,"July 1, 1935",University of Illinois at Urbana-Champaign,0,Right,Syracuse Nationals,"1st round (7th pick,7th overall)",1957 NBA Draft
359,Phil Bond,bondph01,1978,1978,G,6-2,175,"July 27, 1954",University of Louisville,0,Right,Houston Rockets,"3rd round (18th pick,62nd overall)",1977 NBA Draft
360,Walter Bond,bondwa01,1993,1995,G,6-5,200,"February 1, 1969",University of Minnesota,0,Right,,,
361,Dexter Boney,boneyde01,1997,1997,G,6-4,185,"April 27, 1970","University of Nevada, Las Vegas",0,Right,,,
362,Ron Bonham,bonharo01,1965,1968,F,6-5,192,"May 31, 1942",University of Cincinnati,0,Right,Boston Celtics,"2nd round (9th pick,16th overall)",1964 NBA Draft
363,Anthony Bonner,bonnean01,1991,1996,F,6-8,215,"June 8, 1968",Saint Louis University,0,Right,Sacramento Kings,"1st round (23rd pick,23rd overall)",1990 NBA Draft
364,Matt Bonner,bonnema01,2005,2016,F,6-10,235,"April 5, 1980",University of Florida,0,Right,Chicago Bulls,"2nd round (16th pick,45th overall)",2003 NBA Draft
365,Butch Booker,bookebu01,1970,1970,C,6-10,230,"July 20, 1945",Cheyney University of Pennsylvania,0,Right,,,
366,Devin Booker,bookede01,2016,2017,G,6-6,206,"October 30, 1996",University of Kentucky,1,Right,Phoenix Suns,"1st round (13th pick,13th overall)",2015 NBA Draft
367,Melvin Booker,bookeme01,1996,1997,G,6-1,185,"August 20, 1972",University of Missouri,0,Right,,,
368,Trevor Booker,booketr01,2011,2017,F,6-8,228,"November 25, 1987",Clemson University,1,Left,Minnesota Timberwolves,"1st round (23rd pick,23rd overall)",2010 NBA Draft
369,Josh Boone,boonejo01,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut,0,Right,New Jersey Nets,"1st round (23rd pick,23rd overall)",2006 NBA Draft
370,Ron Boone,boonero01,1969,1981,G-F,6-2,200,"September 6, 1946",Idaho State University,0,Right,Phoenix Suns,"11th round (13th pick,147th overall)",1968 NBA Draft
371,Calvin Booth,boothca01,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University,0,Left,Washington Wizards,"2nd round (6th pick,35th overall)",1999 NBA Draft
372,Keith Booth,boothke01,1998,1999,F,6-6,226,"October 9, 1974",University of Maryland,0,Right,Chicago Bulls,"1st round (28th pick,28th overall)",1997 NBA Draft
373,Bob Boozer,boozebo01,1961,1971,F,6-8,215,"April 26, 1937",Kansas State University,0,Right,Cincinnati Royals,"1st round (1st pick,1st overall)",1959 NBA Draft
374,Carlos Boozer,boozeca01,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University,0,Right,Cleveland Cavaliers,"2nd round (6th pick,35th overall)",2002 NBA Draft
375,Curtis Borchardt,borchcu01,2004,2005,C,7-0,240,"September 13, 1980",Stanford University,0,Right,Orlando Magic,"1st round (18th pick,18th overall)",2002 NBA Draft
376,Jake Bornheimer,bornhja01,1949,1950,F-C,6-5,200,"June 29, 1927",Muhlenberg College,0,Right,,,
377,Lazaro Borrell,borrela01,2000,2000,F,6-8,220,"September 20, 1972",,0,Right,,,
378,Ike Borsavage,borsaik01,1951,1951,C-F,6-8,220,"July 25, 1924",Temple University,0,Right,Philadelphia Warriors,5th round,1950 NBA Draft
379,Vince Boryla,borylvi01,1950,1954,F,6-5,210,"March 11, 1927",University of Denver,0,Right,,,
380,Chris Bosh,boshch01,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology,1,Left,Toronto Raptors,"1st round (4th pick,4th overall)",2003 NBA Draft
381,Jim Bostic,bostiji01,1978,1978,F,6-7,225,"January 28, 1953",New Mexico State University,0,Right,Kansas City Kings,"8th round (13th pick,139th overall)",1975 NBA Draft
382,Lawrence Boston,bostola01,1980,1980,F,6-8,225,"May 18, 1956",University of Maryland,0,Right,Washington Bullets,"4th round (15th pick,81st overall)",1978 NBA Draft
383,Tom Boswell,bosweto01,1976,1984,F-C,6-9,220,"October 2, 1953",University of South Carolina,0,Right,Boston Celtics,"1st round (17th pick,17th overall)",1975 NBA Draft
384,Ruben Boumtje-Boumtje,boumtru01,2002,2004,C,7-0,257,"May 20, 1978",Georgetown University,0,Right,Portland Trail Blazers,"2nd round (21st pick,50th overall)",2001 NBA Draft
385,Don Boven,bovendo01,1950,1953,F-G,6-4,210,"March 6, 1925",Western Michigan University,0,Right,Indianapolis Olympians,6th round,1949 BAA Draft
386,Cal Bowdler,bowdlca01,2000,2002,F,6-10,245,"March 31, 1977",Old Dominion University,0,Right,Atlanta Hawks,"1st round (17th pick,17th overall)",1999 NBA Draft
387,Bruce Bowen,bowenbr01,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton",0,Right,,,
388,Ryan Bowen,bowenry01,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa,0,Right,Denver Nuggets,"2nd round (26th pick,55th overall)",1998 NBA Draft
389,Tommie Bowens,bowento01,1968,1970,F-C,6-8,220,"July 7, 1940",Grambling State University,0,Right,,,
390,Anthony Bowie,bowiean01,1989,1998,G-F,6-6,190,"November 9, 1963",University of Oklahoma,0,Right,Houston Rockets,"3rd round (19th pick,66th overall)",1986 NBA Draft
391,Sam Bowie,bowiesa01,1985,1995,C-F,7-1,235,"March 17, 1961",University of Kentucky,0,Right,Portland Trail Blazers,"1st round (2nd pick,2nd overall)",1984 NBA Draft
392,Orbie Bowling,bowlior01,1968,1968,C,6-10,215,"March 21, 1939",University of Tennessee,0,Right,New York Knicks,"11th round (1st pick,76th overall)",1963 NBA Draft
393,Ira Bowman,bowmair01,2000,2002,G,6-5,195,"June 11, 1973",University of Pennsylvania,0,Right,,,
394,Nate Bowman,bowmana01,1967,1972,C,6-10,230,"March 19, 1943",Wichita State University,0,Right,Cincinnati Royals,"1st round (7th pick,7th overall)",1965 NBA Draft
395,Donnie Boyce,boycedo01,1996,1997,G,6-5,196,"September 2, 1973",University of Colorado,0,Right,Atlanta Hawks,"2nd round (13th pick,42nd overall)",1995 NBA Draft
396,Dennis Boyd,boydde01,1979,1979,G,6-1,175,"May 21, 1954",University of Detroit Mercy,0,Right,New Orleans Jazz,"4th round (6th pick,72nd overall)",1977 NBA Draft
397,Freddie Boyd,boydfr01,1973,1978,G,6-2,180,"June 13, 1950",Oregon State University,0,Left,Philadelphia 76ers,"1st round (5th pick,5th overall)",1972 NBA Draft
398,Ken Boyd,boydke01,1975,1975,F,6-5,195,"March 25, 1952",Boston University,0,Right,New Orleans Jazz,"9th round (10th pick,154th overall)",1974 NBA Draft
399,Earl Boykins,boykiea01,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University,0,Right,,,
400,Harry Boykoff,boykoha01,1950,1951,C,6-10,225,"July 24, 1922",St. John's University,0,Right,,,
401,Winford Boynes,boynewi01,1979,1981,G-F,6-6,185,"May 17, 1957",University of San Francisco,0,Right,New Jersey Nets,"1st round (13th pick,13th overall)",1978 NBA Draft
402,Cedric Bozeman,bozemce01,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles",0,Right,,,
403,Steve Bracey,bracest01,1973,1975,G,6-1,175,"August 1, 1950",University of Tulsa,0,Right,Atlanta Hawks,"2nd round (8th pick,21st overall)",1972 NBA Draft
404,Craig Brackins,brackcr01,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University,0,Right,Oklahoma City Thunder,"1st round (21st pick,21st overall)",2010 NBA Draft
405,Gary Bradds,braddga01,1965,1971,F,6-8,210,"July 26, 1942",Ohio State University,0,Right,Baltimore Bullets,"1st round (3rd pick,3rd overall)",1964 NBA Draft
406,Alex Bradley,bradlal02,1982,1982,F,6-6,215,"October 30, 1959",Villanova University,0,Right,New York Knicks,"4th round (17th pick,86th overall)",1981 NBA Draft
407,Alonzo Bradley,bradlal01,1978,1980,F,6-6,190,"October 16, 1953",Texas Southern University,0,Right,Indiana Pacers,"2nd round (7th pick,29th overall)",1977 NBA Draft
408,Avery Bradley,bradlav01,2011,2017,G,6-2,180,"November 26, 1990",University of Texas at Austin,1,Right,Boston Celtics,"1st round (19th pick,19th overall)",2010 NBA Draft
409,Bill Bradley,bradlbi02,1968,1968,G,5-11,165,"June 16, 1941",,0,Right,,,
410,Bill Bradley*,bradlbi01,1968,1977,F-G,6-5,205,"July 28, 1943",Princeton University,0,Right,New York Knicks,,
411,Charles Bradley,bradlch01,1982,1984,G,6-5,215,"May 16, 1959",University of Wyoming,0,Right,Boston Celtics,"1st round (23rd pick,23rd overall)",1981 NBA Draft
412,Dudley Bradley,bradldu01,1980,1989,G-F,6-6,195,"March 19, 1957",University of North Carolina,0,Right,Indiana Pacers,"1st round (13th pick,13th overall)",1979 NBA Draft
413,Jim Bradley,bradlji01,1974,1976,F,6-8,215,"March 16, 1952",Northern Illinois University,0,Right,Los Angeles Lakers,"3rd round (12th pick,48th overall)",1974 NBA Draft
414,Joe Bradley,bradljo01,1950,1950,G,6-3,175,"September 24, 1928",Oklahoma State University,0,Right,,,
415,Michael Bradley,bradlmi01,2002,2006,F-C,6-10,245,"April 18, 1979",Villanova University,0,Right,Toronto Raptors,"1st round (17th pick,17th overall)",2001 NBA Draft
416,Shawn Bradley,bradlsh01,1994,2005,C,7-6,235,"March 22, 1972",Brigham Young University,0,Right,Philadelphia 76ers,"1st round (2nd pick,2nd overall)",1993 NBA Draft
417,Mark Bradtke,bradtma01,1997,1997,C-F,6-10,265,"September 27, 1968",,0,Right,,,
418,Marques Bragg,braggma01,1996,1996,F,6-8,230,"March 24, 1970",Providence College,0,Right,,,
419,Torraye Braggs,braggto01,2004,2005,F,6-8,245,"May 15, 1976",Xavier University,0,Right,Utah Jazz,"2nd round (28th pick,57th overall)",1998 NBA Draft
420,A.J. Bramlett,bramlaj01,2000,2000,C,6-10,227,"January 10, 1977",University of Arizona,0,Right,Cleveland Cavaliers,"2nd round (10th pick,39th overall)",1999 NBA Draft
421,Adrian Branch,brancad01,1987,1990,F-G,6-7,185,"November 17, 1963",University of Maryland,0,Right,Chicago Bulls,"2nd round (22nd pick,46th overall)",1985 NBA Draft
422,Elton Brand,brandel01,2000,2016,F,6-8,275,"March 11, 1979",Duke University,0,Right,Chicago Bulls,"1st round (1st pick,1st overall)",1999 NBA Draft
423,Terrell Brandon,brandte01,1992,2002,G,5-11,180,"May 20, 1970",University of Oregon,0,Right,Cleveland Cavaliers,"1st round (11th pick,11th overall)",1991 NBA Draft
424,Bob Brannum,brannbo01,1950,1955,F-C,6-5,215,"May 28, 1925",Michigan State University,0,Right,,,
425,Brad Branson,bransbr01,1982,1983,C-F,6-10,220,"September 24, 1958",Southern Methodist University,0,Right,Detroit Pistons,"2nd round (22nd pick,45th overall)",1980 NBA Draft
426,Jesse Branson,bransje01,1966,1968,F,6-7,195,"January 7, 1942",Elon University,0,Right,Philadelphia 76ers,"2nd round (5th pick,13th overall)",1965 NBA Draft
427,Jim Brasco,brascji01,1953,1953,G,6-1,170,"February 3, 1931",New York University,0,Right,Syracuse Nationals,,
428,Mike Bratz,bratzmi01,1978,1986,G,6-2,185,"October 17, 1955",Stanford University,0,Right,Phoenix Suns,"3rd round (22nd pick,66th overall)",1977 NBA Draft
429,Carl Braun,braunca01,1948,1962,G-F,6-5,180,"September 25, 1927",Colgate University,0,Right,,,
430,Tim Breaux,breauti01,1995,1998,F,6-7,215,"September 19, 1970",University of Wyoming,0,Right,,,
431,J.R. Bremer,bremejr01,2003,2004,G,6-2,185,"September 19, 1980",St. Bonaventure University,0,Left,,,
432,Pete Brennan,brennpe01,1959,1959,F,6-6,205,"September 23, 1936",University of North Carolina,0,Right,New York Knicks,"1st round (4th pick,4th overall)",1958 NBA Draft
433,Tom Brennan,brennto01,1955,1955,F,6-3,195,"August 6, 1930",Villanova University,0,Right,Philadelphia Warriors,"8th round (5th pick,60th overall)",1958 NBA Draft
434,Randy Breuer,breuera01,1984,1994,C,7-3,230,"October 11, 1960",University of Minnesota,0,Right,Milwaukee Bucks,"1st round (18th pick,18th overall)",1983 NBA Draft
435,Corey Brewer,breweco01,2008,2017,F-G,6-9,186,"March 5, 1986",University of Florida,1,Right,Minnesota Timberwolves,"1st round (7th pick,7th overall)",2007 NBA Draft
436,Jamison Brewer,breweja01,2002,2005,G,6-4,184,"November 19, 1980",Auburn University,0,Right,Indiana Pacers,"2nd round (12th pick,41st overall)",2001 NBA Draft
437,Jim Brewer,breweji01,1974,1982,F-C,6-9,210,"December 3, 1951",University of Minnesota,0,Right,Cleveland Cavaliers,"1st round (2nd pick,2nd overall)",1973 NBA Draft
438,Ron Brewer,brewero01,1979,1986,G,6-4,180,"September 16, 1955",University of Arkansas,0,Right,Portland Trail Blazers,"1st round (7th pick,7th overall)",1978 NBA Draft
439,Ronnie Brewer,brewero02,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas,0,Right,Utah Jazz,"1st round (14th pick,14th overall)",2006 NBA Draft
440,Primoz Brezec,brezepr01,2002,2010,C,7-2,252,"October 2, 1979",,0,Right,Indiana Pacers,"1st round (27th pick,27th overall)",2000 NBA Draft
441,Frankie Brian,brianfr01,1950,1956,G,6-1,180,"May 1, 1923",Louisiana State University,0,Right,,,
442,Frank Brickowski,brickfr01,1985,1997,F-C,6-9,240,"August 14, 1959",Pennsylvania State University,0,Right,New York Knicks,"3rd round (11th pick,57th overall)",1981 NBA Draft
443,Junior Bridgeman,bridgju01,1976,1987,F-G,6-5,210,"September 17, 1953",University of Louisville,0,Right,Los Angeles Lakers,"1st round (8th pick,8th overall)",1975 NBA Draft
444,Bill Bridges,bridgbi01,1963,1975,F-C,6-6,228,"April 4, 1939",University of Kansas,0,Right,Chicago Packers,"3rd round (9th pick,32nd overall)",1961 NBA Draft
445,Al Brightman,brighal01,1947,1947,F,6-2,195,"September 22, 1923",University of Charleston,0,Right,,,
446,Aud Brindley,brindau01,1947,1947,F,6-4,175,"December 31, 1923",Dartmouth College,0,Right,,,
447,John Brisker,briskjo01,1970,1975,F-G,6-5,210,"June 15, 1947",University of Toledo,0,Right,,,
448,Allan Bristow,bristal01,1974,1983,F-G,6-7,210,"August 23, 1951",Virginia Polytechnic Institute and State University,0,Left,Philadelphia 76ers,"2nd round (3rd pick,21st overall)",1973 NBA Draft
449,Tyrone Britt,brittty01,1968,1968,G,6-4,190,"April 18, 1944",Johnson C. Smith University,0,Right,,,
450,Wayman Britt,brittwa01,1978,1978,G,6-2,185,"August 31, 1952",University of Michigan,0,Right,Los Angeles Lakers,"4th round (9th pick,60th overall)",1976 NBA Draft
451,Mike Brittain,brittmi01,1986,1987,C,7-0,235,"June 21, 1963",University of South Carolina,0,Right,San Antonio Spurs,"2nd round (5th pick,29th overall)",1985 NBA Draft
452,Dave Britton,brittda01,1981,1981,G,6-4,180,"August 29, 1958",Texas A&M University,0,Right,Dallas Mavericks,"3rd round (11th pick,57th overall)",1980 NBA Draft
453,Jon Brockman,brockjo01,2010,2012,F,6-7,255,"March 20, 1987",University of Washington,0,Right,Portland Trail Blazers,"2nd round (8th pick,38th overall)",2009 NBA Draft
454,Jim Brogan,brogaji01,1982,1983,G,6-4,185,"February 24, 1958",West Virginia Wesleyan College,0,Right,,,
455,Malcolm Brogdon,brogdma01,2017,2017,G,6-5,215,"December 11, 1992",University of Virginia,1,Right,Milwaukee Bucks,"2nd round (6th pick,36th overall)",2016 NBA Draft
456,Gary Brokaw,brokaga01,1975,1978,G,6-4,178,"January 11, 1954",University of Notre Dame,0,Right,Milwaukee Bucks,"1st round (18th pick,18th overall)",1974 NBA Draft
457,Price Brookfield,brookpr01,1949,1950,F-G,6-4,185,"May 11, 1920",West Texas A&M University,0,Right,,,
458,Clarence Brookins,brookcl01,1971,1971,F,6-4,190,,Temple University,0,Right,Philadelphia 76ers,"9th round (12th pick,118th overall)",1968 NBA Draft
459,Aaron Brooks,brookaa01,2008,2017,G,6-0,161,"January 14, 1985",University of Oregon,1,Right,Houston Rockets,"1st round (26th pick,26th overall)",2007 NBA Draft
460,Kevin Brooks,brookke01,1992,1994,F,6-6,200,"October 12, 1969",University of Louisiana at Lafayette,0,Right,Milwaukee Bucks,"1st round (18th pick,18th overall)",1991 NBA Draft
461,MarShon Brooks,brookma01,2012,2014,G-F,6-5,200,"January 26, 1989",Providence College,0,Right,Boston Celtics,"1st round (25th pick,25th overall)",2011 NBA Draft
462,Michael Brooks,brookmi01,1981,1988,F,6-7,220,"August 17, 1958",La Salle University,0,Right,San Diego Clippers,"1st round (9th pick,9th overall)",1980 NBA Draft
463,Scott Brooks,brooksc01,1989,1998,G,5-11,165,"July 31, 1965","University of California, Irvine",0,Right,,,
464,Andre Brown,brownan01,2007,2009,F,6-9,245,"May 12, 1981",DePaul University,0,Right,,,
465,Anthony Brown,brownan02,2016,2017,F-G,6-7,210,"October 10, 1992",Stanford University,1,Right,Los Angeles Lakers,"2nd round (4th pick,34th overall)",2015 NBA Draft
466,Bob Brown,brownbo01,1949,1950,F,6-4,205,"November 12, 1923",Miami University,0,Right,,,
467,Bobby Brown,brownbo02,2009,2017,G,6-2,175,"September 24, 1984","California State University, Fullerton",1,Right,,,
468,Chucky Brown,brownch01,1990,2002,F,6-7,214,"February 29, 1968",North Carolina State University,0,Right,Cleveland Cavaliers,"2nd round (16th pick,43rd overall)",1989 NBA Draft
469,Damone Brown,brownda02,2002,2005,F,6-9,200,"June 28, 1979",Syracuse University,0,Right,Philadelphia 76ers,"2nd round (8th pick,37th overall)",2001 NBA Draft
470,Darrell Brown,brownda01,1949,1949,F,6-2,175,"March 14, 1923",Humboldt State University,0,Right,Baltimore Bullets,,
471,Dee Brown,brownde01,1991,2002,G,6-1,160,"November 29, 1968",Jacksonville University,0,Right,Boston Celtics,"1st round (19th pick,19th overall)",1990 NBA Draft
472,Dee Brown,brownde03,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign,0,Right,Utah Jazz,"2nd round (16th pick,46th overall)",2006 NBA Draft
473,Derrick Brown,brownde04,2010,2012,F,6-7,225,"September 8, 1987",Xavier University,0,Left,Charlotte Bobcats,"2nd round (10th pick,40th overall)",2009 NBA Draft
474,Devin Brown,brownde02,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio,0,Right,,,
475,Ernest Brown,browner01,2002,2002,C,7-0,244,"May 17, 1979",Indian Hills Community College,0,Right,Miami Heat,"2nd round (23rd pick,52nd overall)",2000 NBA Draft
476,Fred Brown,brownfr01,1972,1984,G,6-3,182,"August 7, 1948",University of Iowa,0,Right,Seattle SuperSonics,"1st round (6th pick,6th overall)",1971 NBA Draft
477,George Brown,brownge01,1958,1958,F,6-6,190,"October 30, 1935",Wayne State University,0,Right,Minneapolis Lakers,"4th round (3rd pick,27th overall)",1957 NBA Draft
478,Gerald Brown,brownge02,1999,1999,G,6-4,210,"July 28, 1975",Pepperdine University,0,Right,,,
479,Harold Brown,brownha01,1947,1947,G,6-0,155,"October 2, 1923",University of Evansville,0,Right,,,
480,Jabari Brown,brownja01,2015,2015,G,6-4,215,"December 18, 1992",University of Missouri,0,Right,,,
481,Jaylen Brown,brownja02,2017,2017,F,6-7,225,"October 24, 1996",University of California,1,Right,Boston Celtics,"1st round (3rd pick,3rd overall)",2016 NBA Draft
482,John Brown,brownjo01,1974,1980,F,6-7,220,"December 14, 1951",University of Missouri,0,Right,Atlanta Hawks,"1st round (10th pick,10th overall)",1973 NBA Draft
483,Kedrick Brown,brownke01,2002,2005,G,6-7,222,"March 18, 1981",Okaloosa-Walton Community College,0,Right,Boston Celtics,"1st round (11th pick,11th overall)",2001 NBA Draft
484,Kwame Brown,brownkw01,2002,2013,F,6-11,270,"March 10, 1982",,0,Right,Washington Wizards,"1st round (1st pick,1st overall)",2001 NBA Draft
485,Larry Brown*,brownla01,1968,1972,G,5-9,160,"September 14, 1940",University of North Carolina,0,Right,Baltimore Bullets,"7th round (2nd pick,55th overall)",1963 NBA Draft
486,Leon Brown,brownle01,1947,1947,F,6-3,190,"October 12, 1919",University of Wyoming,0,Right,,,
487,Lewis Brown,brownle02,1981,1981,C,6-11,225,"February 19, 1955","University of Nevada, Las Vegas",0,Left,Milwaukee Bucks,"4th round (3rd pick,69th overall)",1977 NBA Draft
488,Lorenzo Brown,brownlo01,2014,2016,G,6-5,189,"August 26, 1990",North Carolina State University,1,Right,Minnesota Timberwolves,"2nd round (22nd pick,52nd overall)",2013 NBA Draft
489,Marcus Brown,brownma01,1997,2000,G,6-3,185,"April 3, 1974",Murray State University,0,Right,Portland Trail Blazers,"2nd round (17th pick,46th overall)",1996 NBA Draft
490,Markel Brown,brownma02,2015,2016,G,6-3,190,"January 29, 1992",Oklahoma State University,0,Right,Minnesota Timberwolves,"2nd round (14th pick,44th overall)",2014 NBA Draft
491,Mike Brown,brownmi01,1987,1997,C-F,6-9,257,"July 19, 1963",George Washington University,0,Right,Chicago Bulls,"3rd round (22nd pick,69th overall)",1985 NBA Draft
492,Myron Brown,brownmy01,1992,1992,G,6-3,180,"November 3, 1969",Slippery Rock University of Pennsylvania,0,Right,Minnesota Timberwolves,"2nd round (7th pick,34th overall)",1991 NBA Draft
493,P.J. Brown,brownpj01,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech University,0,Right,New Jersey Nets,"2nd round (2nd pick,29th overall)",1992 NBA Draft
494,Randy Brown,brownra02,1992,2003,G,6-2,190,"May 22, 1968",New Mexico State University,0,Right,Sacramento Kings,"2nd round (4th pick,31st overall)",1991 NBA Draft
495,Raymond Brown,brownra01,1990,1990,F,6-8,220,"July 5, 1965",University of Idaho,0,Right,,,
496,Rickey Brown,brownri01,1981,1985,C-F,6-10,215,"August 20, 1958",Mississippi State University,0,Right,Golden State Warriors,"1st round (13th pick,13th overall)",1980 NBA Draft
497,Roger Brown*,brownro01,1968,1975,F-G,6-5,205,"May 22, 1942",University of Dayton,0,Right,,,
498,Roger Brown,brownro02,1973,1980,C,6-11,225,"February 23, 1950",University of Kansas,0,Right,Los Angeles Lakers,"4th round (13th pick,64th overall)",1971 NBA Draft
499,Shannon Brown,brownsh01,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University,0,Right,Cleveland Cavaliers,"1st round (25th pick,25th overall)",2006 NBA Draft
500,Stan Brown,brownst01,1948,1952,F,6-3,200,"June 27, 1929",,0,Right,,,
501,Tierre Brown,brownti01,2002,2005,G,6-2,189,"June 3, 1979",McNeese State University,0,Right,,,
502,Tony Brown,brownto01,1985,1992,F-G,6-6,185,"July 29, 1960",University of Arkansas,0,Right,New Jersey Nets,"4th round (13th pick,82nd overall)",1982 NBA Draft
503,Jim Browne,brownji01,1949,1950,C,6-10,235,"January 1, 1930",,0,Right,,,
504,Stanley Brundy,brundst01,1990,1990,F,6-6,210,"November 13, 1967",DePaul University,0,Right,New Jersey Nets,"2nd round (5th pick,32nd overall)",1989 NBA Draft
505,Brian Brunkhorst,brunkbr01,1969,1969,F,6-6,208,"June 12, 1945",Marquette University,0,Right,New York Knicks,"6th round (8th pick,72nd overall)",1968 NBA Draft
506,George Bruns,brunsge01,1973,1973,G,6-0,160,"August 30, 1946",Manhattan College,0,Right,,,
507,Rick Brunson,brunsri01,1998,2006,G,6-4,190,"June 14, 1972",Temple University,0,Left,,,
508,Nicolas Brussino,brussni01,2017,2017,G-F,6-7,195,"March 2, 1993",,1,Right,,,
509,Em Bryant,bryanem01,1965,1972,G,6-1,175,"November 4, 1938",DePaul University,0,Right,New York Knicks,"7th round (1st pick,53rd overall)",1964 NBA Draft
510,Joe Bryant,bryanjo01,1976,1983,F-C,6-9,185,"October 19, 1954",La Salle University,0,Left,Golden State Warriors,"1st round (14th pick,14th overall)",1975 NBA Draft
511,Kobe Bryant,bryanko01,1997,2016,G-F,6-6,212,"August 23, 1978",,0,Right,Charlotte Hornets,"1st round (13th pick,13th overall)",1996 NBA Draft
512,Mark Bryant,bryanma01,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall University,0,Right,Portland Trail Blazers,"1st round (21st pick,21st overall)",1988 NBA Draft
513,Wallace Bryant,bryanwa01,1984,1986,C,7-0,245,"July 14, 1959",University of San Francisco,0,Right,Chicago Bulls,"2nd round (7th pick,30th overall)",1982 NBA Draft
514,Torgeir Bryn,brynto01,1990,1990,C,6-9,250,"August 8, 1964",Texas State University,0,Right,,,
515,George Bucci,buccige01,1976,1976,G,6-3,200,"July 9, 1953",Manhattan College,0,Right,Buffalo Braves,"3rd round (16th pick,52nd overall)",1975 NBA Draft
516,Joe Buckhalter,buckhjo01,1962,1963,F,6-7,210,"August 1, 1937",Tennessee State University,0,Right,St. Louis Hawks,"12th round (4th pick,81st overall)",1958 NBA Draft
517,Steve Bucknall,bucknst01,1990,1990,G,6-6,215,"March 17, 1966",University of North Carolina,0,Right,,,
518,Cleveland Buckner,buckncl01,1962,1963,F-C,6-9,210,"August 17, 1938",Jackson State University,0,Right,New York Knicks,"6th round (1st pick,51st overall)",1961 NBA Draft
519,Greg Buckner,buckngr01,2000,2009,G,6-4,210,"September 16, 1976",Clemson University,0,Right,Dallas Mavericks,"2nd round (24th pick,53rd overall)",1998 NBA Draft
520,Quinn Buckner,bucknqu01,1977,1986,G,6-3,190,"August 20, 1954",Indiana University,0,Right,Milwaukee Bucks,"1st round (7th pick,7th overall)",1976 NBA Draft
